genotype,si
[111010111],-0.999893946325179
[111011000],-0.9998775340171254
[111011001],-0.9999269501346562
[111011010],-0.9997796105990389
[111011011],-0.9999988995174824
[111011100],-0.999346763702775
[111011101],-0.9999995431788482
[111011110],-0.999377948388972
[111011111],-0.9999988899499328
[111100000],-0.5465509963850737
[111100001],-0.9997606405233211
[111100010],1.0
[111100011],-0.9989528600213401
[111100100],-0.34524498168252027
[111100101],-0.9987340888023982
[111100110],1.0
[111100111],1.0
[111101000],1.0
[111101001],-0.9995076060632893
[111101010],1.0
[111101011],-0.9996008325086692
[111101100],-0.9902218298802649
[111101101],-0.9996990516742218
[111101110],1.0
[111101111],-0.9995969363260968
[111110000],1.0
[111110001],-0.9991091544660519
[111110010],1.0
[111110011],1.0
[111110100],-0.8232793930897383
[111110101],-0.9957594194233401
[111110110],1.0
[111110111],1.0
[111111000],1.0
[111111001],1.0
[111111010],1.0
[111111011],-0.9974357998863094
[111111100],1.0
[111111101],-0.9989839676348358
[111111110],1.0
[111111111],1.0
